id_user;computador_pessoal;gosto_jogos;frequencia_jogos;gosto_jogos_aventura;gosto_jogos_luta_acao;gosto_jogos_rpg;gosto_jogos_puzzle;gosto_jogos_esporte;ja_jogou_rpg_eletronico;ja_jogou_rpg_mesa;sexo;ano_nascimento;estado_civil;filhos
4419;1;2;4;2;2;3;3;2;2;3;1;1996;1;2
4428;1;2;3;3;2;3;2;4;3;3;2;1991;1;2
4444;1;3;4;4;4;4;4;4;4;4;1;1974;5;1
4464;3;1;2;1;1;1;4;3;1;3;1;1999;1;2
4470;1;4;4;2;2;2;2;2;2;2;1;1999;1;2
4478;1;3;3;2;3;4;1;3;3;2;2;1991;1;2
4480;1;5;5;4;4;5;2;5;3;2;2;1996;1;2
4483;2;1;4;1;1;1;1;1;3;4;2;2001;1;2
4515;1;5;5;5;5;5;5;5;4;4;1;1976;5;1
4518;1;1;2;2;2;1;1;4;1;2;1;2001;1;2
4520;1;1;4;2;2;1;3;2;2;4;1;2001;1;2
4605;1;5;5;5;5;5;2;5;4;3;2;2022;2;2
4609;1;1;1;1;1;1;1;1;1;1;1;2022;1;1
4646;1;1;5;1;2;1;5;1;1;4;1;2000;1;2
4670;1;2;1;1;3;1;4;3;1;2;1;2001;1;2
4699;1;1;1;1;1;1;1;1;1;1;1;1992;1;2
4703;1;4;4;3;4;4;2;5;3;4;2;2001;1;2
4756;1;2;1;2;2;2;2;2;4;3;1;1996;1;2
4756;1;2;1;2;2;2;2;2;4;3;1;1996;1;2
4756;1;2;1;2;2;2;2;2;4;3;1;1996;1;2
4756;1;2;1;2;2;2;2;2;4;3;1;1996;1;2
4763;2;1;2;2;1;1;4;5;2;3;1;2022;1;2
4773;1;1;3;1;2;4;2;2;2;4;1;2001;1;2
4777;2;2;3;1;1;2;2;3;2;4;1;1999;1;2
4781;1;3;4;3;3;3;3;3;2;4;1;1999;1;2
4837;1;1;1;1;1;1;1;1;1;1;1;2022;1;1
4846;1;4;4;2;2;3;3;1;5;5;1;1992;1;2
4869;1;1;1;1;1;1;1;1;1;1;1;2022;1;1
4907;2;1;1;1;1;1;1;1;1;1;1;2020;1;2
4908;2;1;1;1;1;1;1;1;1;1;1;2020;1;2
4909;2;1;1;1;1;1;1;1;2;1;1;2020;1;2
4910;2;1;1;1;1;1;1;1;1;1;1;2020;1;2
4919;2;1;1;1;1;1;1;1;1;1;1;2020;1;2
4920;2;1;1;1;1;1;1;1;1;1;1;2020;1;2
4928;2;1;1;1;1;1;1;1;1;1;1;2020;1;2
4929;2;1;1;1;1;1;1;1;1;1;1;2020;1;2
